C=COCC,[-0.59935707  0.8605818  -0.8725972  -0.20345148 -0.46243212]
CCC(CO)(CO)CO,[ 0.57172364  0.9065054  -0.92485076 -0.9680825  -0.32390124]
CS(=O)(=O)c1ccc2[nH]c(C(F)(F)F)nc2c1,"[ 1.9921029e-01  1.0000000e+00 -9.2247498e-01 -8.3588731e-01
 -9.4929856e-04]"
CCN(CC)CC#N,[-0.21924713  0.9871007  -1.         -0.6387533   0.02927651]
Cn1c(N)c(NC(=O)NCC[NH3+])c[n+]1CC1=C(C(=O)[O-])N2C(=O)C(NC(=O)/C(=N/OC(C)(C)C(=O)[O-])c3nsc(N)n3)C2SC1,[ 0.20144166  0.74485487 -0.70547837 -0.7766392   0.79809856]
Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,[-0.06675695  0.9083194  -0.7398177  -0.8589065   0.20555632]
CC(C)C(=O)Nc1nc(-c2ccccn2)cc2ccccc12,[ 0.3452412   0.9281812  -0.7623132  -0.693475    0.06453585]
CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21,[ 0.44563064  0.9012474  -0.9725125  -0.8017821   0.09529235]
CCCP(=O)(O)OCC,[ 0.64066714  0.92490023 -0.9556919  -0.82981443  0.3943933 ]
O=NN1CCN(N=O)CC1,[ 0.46391273  0.581854   -0.6594518  -0.7287581  -0.14643551]
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,[-0.1444158   0.9230728  -0.89460087 -0.85917896 -0.08771002]
CNc1c(Br)cnc2[nH]c(-c3ccc(OCCN4CCCCC4)cc3)nc12,[ 0.41576594  0.78301084 -0.35409206 -0.8630055  -0.07557462]
C1=Cc2ccccc2CC1,[ 0.2141316   0.7192527  -0.8806952  -0.9559647  -0.06342142]
COc1ccccc1Oc1c([N-]S(=O)(=O)c2ccc(C)cn2)nc(-c2ccncc2)nc1OC,[ 0.50022805  0.6215653  -0.7868154  -0.4704494  -0.59867394]
CCCCCCC(=O)NO,[ 0.2291579   0.17059095 -0.9309188  -0.8080835  -0.46614483]
CCOP(=O)(OCC)OC(=C(Cl)Br)c1ccc(Cl)cc1Cl,[-0.32167464  0.88125265 -0.78662413 -0.24343129 -0.01467547]
CN1CCN(CCC(=O)NN=Cc2ccc([N+](=O)[O-])o2)CC1,[-0.07575312  0.93866557 -0.8298213  -0.72052217 -0.18180841]
CN(OCCNC(=O)Cc1c(C#N)ccc(NCC(F)(F)c2ccccn2)c1F)C(=N)N,[-0.6947426   0.8626765  -0.75215894 -0.17515062 -0.16981807]
CN1C(=O)CC(N2CCN(CC/C=C3/c4ccccc4COc4ccc(C(=O)O)cc43)CC2)N(C)C1=O,[-0.461531    0.5861763  -0.83293706  0.3008906  -0.4536966 ]
O=C(COc1ccc(Cc2ccc(Cl)cc2)cc1)OCc1cccnc1,[ 0.24785069  1.         -0.7354321  -0.42755646 -0.19817325]
CP(=S)(Oc1ccccc1)Oc1ccc([N+](=O)[O-])cc1,[-0.02770691  0.94400716 -0.7598199  -0.6981041  -0.29167086]
C[NH+](C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,[ 0.00348594 -0.20669574 -1.         -0.67697906 -0.27405927]
COCCOc1cnc(NS(=O)(=O)c2ccccc2)nc1,[ 0.3401553   0.8409769  -0.810651   -0.69888574 -0.09986737]
OCC(CO)(CBr)CBr,[-0.1009113   0.9295186  -1.         -0.9296961  -0.32361388]
CC=CC=CC=CC(C)=O,[ 0.33573976  0.04090578 -0.8066564  -0.72657526  0.5812978 ]
O=CC1C(=O)N(c2ccccc2)N=C1c1ccccc1,[-0.3411835   0.79618263 -0.39002925 -1.          0.05073119]
C=Cc1ccccc1Cl,[-0.01751679  0.9175082  -0.9126814  -0.6232858  -0.6663355 ]
N#CCCCCCCC#N,[ 0.1050308   0.8979573  -0.7955554  -0.18027768 -0.18198808]
CNC,[ 0.18126701  0.9389219  -0.88159084 -0.78422314 -0.06412082]
CCN(CC)C(=O)C1(c2ccccc2)CC1C[NH3+],[ 0.2947459   0.35866162 -0.9700051  -1.         -0.36982322]
CN(C)C(=O)NC1CC2CC1C1CCCC21,[ 0.33734626  1.         -0.9415587  -1.         -0.44305617]
OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,[ 0.15686004  0.8877138  -0.12849621 -0.6928244  -0.09231744]
CC(O)c1cccc(N)c1,[ 0.4597189   0.95828754 -0.9893043   0.03119549 -0.39947498]
CC(NNC(=O)c1ccccc1)c1ccccc1,[-0.31037796  0.5604602  -0.175193   -0.9602131  -0.61353993]
C1=CC(OC2C=CCC2)CC1,[-0.15014964  0.91236705 -1.         -0.7841145   0.30176926]
CCCCC(CC)CO[Si](OCC(CC)CC)(OCC(CC)CC)OCC(CC)CCCC,[ 0.14289041  0.54982275 -0.69927204 -0.71425116 -0.09168801]
CC(C)Oc1cc(-n2cnc3ccc(N[C@@H](C)c4ccc(F)cn4)nc32)n[nH]1,[ 0.26477113  0.18472935 -0.56844634 -0.79216206  0.01773626]
C=COCC(C)C,[ 0.25417706  0.5372808  -0.80985755 -0.5760273  -0.25467306]
COP(=S)(OC)Oc1ccc2c(C)cc(=O)oc2c1,[ 0.48068836  0.9762477  -0.63766676 -0.88545007 -0.55153215]
CC=CC=CC#N,[-0.1592784   0.40169194 -0.21087658 -0.16853775 -0.07357236]
CC(NCCCCc1ccccc1)C(O)c1ccc2c(c1)CCS2,[-0.02538424  1.         -0.93860894 -0.4522929   0.48711297]
CNC(=O)Oc1cccc2c1OC(C)(C)C2,[ 0.15103784  0.8549235  -0.7772615  -0.7942434  -0.1975385 ]
CCCCC(CC)COCCC(=O)O,[ 0.28220692 -0.08350465 -1.         -0.9054651  -0.32612056]
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,[-0.08363353  0.9205669  -0.91844064 -0.8402665   0.29518396]
O=NN(CCCl)C(=O)NCCCl,[ 0.11549611  0.8893426  -0.7320541  -0.76177293  0.18539901]
CCCCc1cc[nH]n1,[-0.41455162  0.8794972  -0.9368742  -0.68245745 -0.05337393]
CCCc1cc[nH]n1,[ 0.39283955 -0.12317486 -0.8095311  -0.47731343 -0.27840862]
CN1C(=O)CC(N2CCN(CCCN3c4ccccc4COc4ccc(C(=O)O)cc43)CC2)N(C)C1=O,[ 0.16426295  0.90170425 -0.11486223 -0.8057442  -0.03353006]
Oc1ccc2cc(CNCCc3ccc(Br)cc3)c(-c3ccsc3)nc2c1,[ 0.11265381 -0.14545137 -0.9062537  -0.75290257 -0.2665949 ]
COCC(C)n1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c1ccc(C)cc1,[ 0.47740534  0.67877746 -0.9421931  -0.5982042  -0.00272589]
COc1ncc(-c2cccc(C)c2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,[-0.59973824  0.8449792  -0.82452244 -0.55195373 -0.33897918]
Nc1ccn(C2CCC(CO)O2)c(=O)n1,[ 0.4918918   0.92402124 -0.6329924  -0.7778107  -0.03223159]
CCC1OC(C)C(=NOC(=O)NC)S1,[-0.22176619  0.6872888  -0.47100195 -0.792061    0.17785956]
CCOP(=S)(OCC)SCn1nc(-c2ccccc2)ccc1=O,[-0.27745008  0.7173399  -0.79385155 -0.75979304  0.3525219 ]
O=c1[nH]c(=O)n(CC2CC2)c2nc[nH]c12,[ 0.3290411   0.724723   -0.99868387 -0.8829234   0.7996819 ]
O=C(O)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,[ 0.486483   -0.22343625 -0.770371   -0.71333903  0.40290868]
COP(=S)(OC)OC1CC(C)CCC1C(C)C,[ 0.03716226  0.99955094 -0.91597044 -0.65482754  0.28852296]
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)C(C)C,[ 0.30091497  0.86118287 -0.5616021   0.25790623  0.5849305 ]
CCCCCC=CCC=CCCCCCCCC(=O)N(CCO)CCO,[-0.1440067   0.7141632  -0.7890432  -0.78498405 -0.30676994]
